RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31
102001,0,United States,country,,1252.9661899337038,1259.4159347782015,1268.0233369925495,1278.1744331053883,1287.585791620385,1296.2232537939997,1302.1415507568502,1305.482571496491,1306.757456403883,1306.5959236468652,1307.149094458502,1308.4085864074011,1312.5594246903806,1317.8743914646316,1324.6662692179007,1333.121738734299,1342.0141429693072,1350.0369815168633,1354.6282132264757,1356.2996098305591,1355.4373307980745,1353.6419957156804,1352.5915578798285,1352.7048049919235,1358.3257640666495,1368.0597068814227,1381.2934311313784,1393.0370467025828,1403.1506061246741,1410.8691708854176,1415.7026214007756,1417.2518811993089,1418.4399656761093,1418.0115030694162,1419.0258455510493,1420.337410429533,1425.363649865088,1433.0862215790469,1444.0350370808812,1455.0112880225495,1464.3187904816182,1471.6405136568671,1476.1057543944241,1478.652733800862,1478.8139473366568,1479.2195760934271,1481.2178536083143,1484.146104054119,1489.0871365864348,1496.4695346360745,1507.9894271271583,1519.5995023611981,1530.0041419216566,1537.5273137642073,1542.1541571558455,1544.242122153284,1544.6290255479896,1545.2044566582765,1546.2960954526145,1548.0329766914388,1553.598069031885,1562.4069142836245,1572.4789603781821,1578.140606185418,1584.5046654239559,1593.0254194469592,1606.5025422154883,1618.477928931886,1629.2613094288647,1637.722684808656,1644.7502227922391,1652.0633562819075,1663.2468387507986,1677.8138942033966,1694.850512994254,1714.001305253717,1737.2632637828788,1761.8624145418457,1785.446071754992,1807.3011911030778,1825.6054746149698,1840.1878626923324,1851.4321220665645,1862.8262649096075,1876.6990563929294,1894.6036874598035,1914.4724810229543,1935.6287992410962,1954.135910854099,1973.0047739737727,1988.0832876140685,2000.2340823574814,2005.184518854892,2008.0334032339604,2007.1674460063637,2010.5852355614647,2015.376455590374,2025.0664006324098,2037.7891421730294,2052.2073459714184,2065.696657351413,2076.447174203986,2086.4535178289957,2094.8980890514017,2099.684014759194,2100.1479357673315,2099.1360848738127,2100.148723121935,2107.9131051140394,2118.958592634377,2134.398425955003,2147.5562988539186,2161.0147350717803,2171.556292878441,2181.471710639286,2188.0575669380446,2191.118018273547,2191.112347859028,2192.0951057245875,2193.9719612384406,2200.8554000158592,2210.302796375153,2222.5938651874385
394913,1,"New York, NY",msa,NY,2378.366115787963,2405.7640606013174,2425.089386544358,2440.7681892625537,2440.654786255536,2456.4341922911426,2461.5740468292393,2462.2418890077165,2461.5109093563788,2461.854103829633,2465.057595653857,2470.76620200999,2481.071743887291,2494.446180834902,2506.732246237809,2520.5979761953404,2530.837698355626,2533.0403849345234,2537.0167242095736,2529.521049155718,2528.0347838984644,2523.6379959771652,2542.9747825029876,2550.452162200861,2568.464895957828,2579.93132344936,2599.4849721543223,2612.06662900537,2624.88979933957,2630.087335676003,2637.5319223098722,2630.762955661149,2660.2972641558526,2668.5593109205906,2665.562765454557,2637.8422551465524,2639.2322560254147,2654.900784984333,2670.009037886007,2684.3529328724926,2700.9040847496162,2710.924017817023,2716.092407844919,2724.4652675641514,2726.0566964001414,2719.8429067205952,2719.048592667647,2719.1695211813867,2726.8689088425513,2743.1034131537563,2773.173887672831,2794.5085654266786,2808.0153397361482,2814.7249499341992,2814.7412602239983,2803.6078497067297,2783.9210216143074,2794.717752993347,2799.1518323111727,2826.8796557657756,2827.8407454122166,2843.6721116716517,2857.6186550117986,2883.033079011349,2902.9135973083703,2914.403756557641,2925.8496504192562,2934.159974149304,2942.8219109942047,2927.2142281750307,2951.6134667814126,2951.3436578780006,2990.7849626945895,3014.626643905393,3067.292164561696,3108.8472036370767,3126.9204614107084,3147.6487621166134,3163.7027668432747,3185.8326572521178,3185.694176148347,3200.345907913148,3192.7498724719326,3227.055818614935,3261.4758708118875,3330.5348336422176,3370.411494921087,3402.4308060566427,3420.4736163040543,3444.065291230568,3476.093089880142,3500.1233384588677,3506.937980475072,3496.8228118571637,3487.812664031707,3491.3904219683227,3498.476507004469,3534.5317006966525,3590.6232256340504,3648.225934496381,3673.2212387433947,3675.2274341891593,3679.6292978696747,3686.3688262374667,3680.117978724315,3653.7498545055137,3640.2393047436185,3661.4937217087218,3709.3030777046565,3742.0860879656857,3782.4950511681695,3790.848665130284,3816.4279103391677,3831.70919451404,3857.4561170829493,3871.231993029074,3845.388127723578,3833.819538742068,3841.7371478646,3884.7602757030563,3904.337146535437,3896.307913217388,3901.3381640857256
753899,2,"Los Angeles, CA",msa,CA,2595.5151501498153,2609.491980835118,2629.827228756604,2641.0599303030585,2665.782261531443,2683.5620459583674,2705.8894631364615,2717.513752031374,2726.9939888788736,2728.6206259524643,2723.362937961766,2728.729143799941,2742.1194522229657,2764.190879704706,2786.665368860067,2802.921926840832,2830.7928712087187,2847.1324919299577,2863.101225871372,2863.5136699901186,2862.739624740743,2856.039415808169,2851.531215391554,2851.4839382041077,2871.375631199532,2896.0763877032377,2929.237805770439,2956.3067578583054,2981.655375789145,2993.0659791721473,3002.498356260164,3000.6827232137143,3007.476784315895,3004.499363558636,3017.3778395029453,3019.23261090958,3034.4255172344215,3046.311600563595,3069.279808886427,3090.4897365487077,3106.7868896182395,3122.3309995456107,3130.8564160052756,3134.401243691185,3137.6245752359846,3141.5400762752706,3159.39027387523,3164.1819523244967,3177.847972237179,3178.521749137633,3205.9852818453624,3218.887939358638,3247.492378046998,3256.0185910675186,3266.023581606783,3261.4347354760775,3260.000046810601,3263.438020855187,3269.8140910801503,3278.4005309573313,3291.1908579280066,3305.3186990556505,3309.9787639440183,3296.182631361802,3297.572725865727,3312.6002930077416,3348.911573581369,3361.115764075137,3375.85631185157,3384.393753964457,3407.390717312537,3418.8575799791593,3444.254304009484,3466.565894908745,3505.7495973217074,3525.3989360848045,3556.066159831477,3582.5733419377625,3618.884749715098,3664.382078888983,3703.5048563277787,3734.750731814162,3755.427473587996,3781.308244818062,3817.5420665749602,3862.7356366680137,3913.1705975193213,3955.7265095986522,3991.674006186946,4017.339756181395,4044.429367494354,4054.4843226472076,4058.6618995369518,4066.7821369723933,4071.865134481512,4076.9863454459073,4081.119048668311,4092.8432901605825,4117.061942990922,4147.048415316597,4168.798914095258,4201.0868441858875,4219.310538457141,4245.838061726436,4237.378471113482,4232.464311129965,4231.360847998951,4240.851458439893,4267.85903546344,4283.356038292584,4307.694770155848,4322.1486322196415,4343.894970236269,4364.177729537155,4385.070665733186,4389.568734919519,4391.864896104726,4385.165170766543,4388.589557224092,4394.531080387604,4480.010943745201,4550.509617186153,4612.419297083487
394463,3,"Chicago, IL",msa,IL,1491.4823460320508,1497.9816272705752,1507.6160019150923,1520.3221456340705,1532.4504096182518,1541.9820948341664,1543.5486284212054,1543.5071938497185,1538.5429558199678,1529.4231617597823,1525.7535821778486,1529.534947350754,1537.2302146264667,1544.3528034400633,1554.6715617945888,1564.4839147072382,1572.3945908063117,1576.9040307391833,1582.646465045555,1587.4906202190107,1581.7818258814339,1573.6759659110019,1564.4063049735882,1559.308195934358,1566.6408371258917,1575.4393076804256,1592.3399707312387,1605.8524451066746,1620.4313072468387,1625.8145356971845,1626.9959232910971,1624.480740526298,1621.3626636034905,1611.8549501111047,1607.6187831985271,1604.282696582513,1610.3970488768605,1618.3450047224667,1632.4961155215035,1647.3881071942953,1656.0326950846907,1661.8752140344243,1663.1765409768564,1664.0432905492232,1662.9376037501531,1657.4678357377375,1652.654106860458,1647.6273246013052,1656.024547765914,1662.2967705831552,1677.098433952658,1686.7946688764655,1698.960641832603,1707.5942008322072,1711.6494402085082,1711.012923368192,1708.17680161438,1704.5624558186323,1700.8205769796211,1697.3561538040503,1701.173861518218,1712.9467935589091,1726.1958184117723,1733.0756614358042,1737.6638768201199,1744.9127090282982,1753.1074448623935,1761.3571969100458,1758.0374286961603,1754.1607447868885,1749.7151984384552,1756.3989541108192,1769.3536987742382,1786.5574240306821,1800.2345886477854,1815.7531782724905,1833.0289841849608,1855.7622103256679,1873.9398475622818,1889.2015331781572,1905.2425196887689,1914.4212859421489,1922.5424578862244,1928.2133486636606,1936.6237258287922,1943.7163093608951,1962.8648129610133,1986.1173959304945,2014.980464043829,2032.6658839803183,2049.795371040115,2062.893818474198,2065.834796843935,2068.489318590562,2062.1138568952947,2072.5411950822618,2080.958240357396,2097.6867332415504,2107.7378977870594,2128.877230434955,2149.7859931780386,2172.186118832866,2184.73765612048,2196.496037246715,2205.002120209015,2208.149672256252,2209.3528138273073,2218.3915518506187,2227.0079351610148,2240.455319193306,2252.8715008057666,2281.320376731869,2303.4685291451656,2316.6896306006383,2324.8226141354016,2336.473232383308,2345.320842459198,2351.976946599005,2354.7848458721733,2366.8824996909584,2375.5971205489977,2399.8196085919035,2412.873366720576
394514,4,"Dallas, TX",msa,TX,1373.911239070909,1382.1588008649499,1392.5164219907745,1406.4991330540815,1419.256490342149,1430.5118606151484,1438.5307453980638,1441.7713635666057,1442.405617914752,1442.5842208407894,1442.78148874591,1444.5900407329163,1446.8635094470947,1455.9259827218186,1467.092498359298,1479.1938334823246,1490.0968120873429,1498.793989777899,1506.5096395863873,1509.1454078373122,1509.3130167366116,1506.0067063084146,1502.984331676974,1501.8923267127532,1509.5196610075625,1519.9411591256082,1535.3783652816041,1548.5055754593968,1562.0560219797396,1569.4500146224218,1574.2098742684293,1576.667898888499,1576.4600495675847,1575.9507326959442,1575.113362631274,1579.3335415578722,1584.6618034287153,1592.498207341606,1599.5024753562293,1611.148487091768,1619.19429276885,1628.9719368640272,1629.6299616694268,1633.268907637091,1633.8036046842387,1634.5949103484338,1632.0103409588164,1632.8851705159789,1638.864348419659,1646.5902482912159,1656.5055549324777,1667.6446091544253,1680.6296860155915,1687.135704080391,1689.2461875079935,1689.3311423869648,1689.1451705515994,1690.8180624914876,1692.7010072256953,1691.2928881577636,1694.5785271301486,1699.780104143145,1711.4726228422567,1715.17655018032,1721.4458427705824,1730.031878871263,1742.6054515753651,1753.4405932026475,1762.1241349352565,1772.7694418064073,1782.6842479664672,1792.5655238273127,1806.4451444996248,1820.655821114972,1838.9682935738283,1858.8010685185407,1887.3578507760553,1916.7907210471535,1945.7859957953083,1970.6164233099769,1994.0196675832103,2014.4793439932819,2026.9034319912241,2035.0610731523159,2045.1165850037023,2062.8036585855416,2083.922892075379,2107.510727545868,2130.581262051098,2157.8131997998753,2176.143304578246,2187.262048845787,2190.451124567664,2194.735517957467,2198.088025925973,2200.0836416415336,2201.8210451490995,2207.4456461505797,2219.0947588587865,2229.5770048340205,2243.845109993242,2257.6127724703456,2270.5224552874542,2276.829903513681,2274.6908103698843,2267.030303230759,2266.139803298396,2265.7933944177853,2274.2785290367774,2280.99000645231,2297.702516646034,2310.4213636790837,2318.7630339123084,2325.997328026098,2331.9726835494052,2335.6276692109545,2334.043811479791,2328.2262137901694,2321.740889945114,2314.8701580580923,2318.2487919578016,2330.8048593106055,2344.7491936882275
394692,5,"Houston, TX",msa,TX,1496.130275444693,1501.8383378739047,1510.1712452331878,1520.852952509782,1532.1771766491286,1542.3203574746487,1544.7396552688772,1544.9527009119406,1540.3793808002015,1536.2213638542803,1532.6167833448458,1527.753161057872,1529.1836812447518,1529.5122471682473,1535.2122401927913,1537.7341835795048,1541.9083731840353,1546.1369567522113,1546.1658436852958,1543.7253506321042,1536.136272170684,1528.9649327885768,1520.516780838052,1515.21607253983,1518.365809810631,1528.6484928432394,1541.1164560714078,1549.5967190729161,1556.6699672590646,1561.453326374413,1563.2972509596332,1562.3292738328098,1568.649076923183,1575.1956551316412,1580.6078277667984,1580.142516712729,1584.152799539523,1589.6987808210508,1595.771852246207,1600.242733571626,1606.4439148846918,1613.5088689542517,1613.326057688406,1613.0648350727354,1609.4881562620635,1608.1678424443744,1603.6358104886035,1602.243098850182,1604.4709451458418,1611.5050231744644,1620.811181007393,1632.246151648471,1642.416598902117,1648.4773710206823,1649.842112615527,1647.4662529563795,1646.5815477660556,1646.0166081225898,1645.9610488956741,1645.5197390564124,1648.77492728041,1654.329068924526,1662.4597851949873,1663.443634149797,1667.4815649312563,1670.1708814756641,1681.9158401956945,1692.4856645615416,1701.9153899795078,1708.492635248559,1711.759807021686,1718.8190614239222,1732.3046241381571,1747.0007164569315,1760.2687722995938,1772.6785673496884,1792.8086861360534,1814.1855701514748,1826.7030958654586,1840.0161527814007,1849.2747312972463,1867.145942310545,1873.5718627583403,1883.4645434968186,1891.206236660361,1905.745085886261,1915.9923093725856,1929.008215592009,1941.4820906755906,1962.5782167875573,1976.0154981671526,1987.05335417644,1987.8861261361246,1993.7031836014949,1989.4784694092928,1991.7792538521219,1991.6268281332307,2003.408802413609,2014.4899451472763,2025.6281968853975,2037.6639659894417,2051.1585825873904,2065.069677388062,2072.008301011977,2072.1636723830466,2068.070343028211,2065.8809319698785,2066.8391434206524,2071.6095028672635,2081.116262193965,2089.766645830643,2100.7128661702054,2109.967139775764,2120.8326734692737,2128.145928811736,2134.1174212011865,2135.506893003883,2134.077082789492,2133.521397666794,2135.6549153918345,2138.1538682007313,2142.586450517493,2151.965141320861
395209,6,"Washington, DC",msa,VA,2051.005229144264,2066.811252595582,2083.647959082763,2094.9326218378496,2103.2671141914066,2112.3278074399614,2117.225387232036,2114.3376901649694,2113.028730093962,2104.3146885629308,2103.77722940918,2096.8562839667984,2104.7967274796515,2112.1032006368314,2125.1500198427793,2132.1028357548485,2144.3951572664328,2151.9064966269293,2160.2131422314433,2161.0621715459483,2154.07130215429,2147.1982470163944,2138.4547739520285,2135.6736701478467,2141.2453156779648,2154.6489608770535,2174.8646501800436,2189.8896698384788,2200.746367422976,2208.1317088877836,2212.1861603900666,2209.9419854857506,2207.498035506794,2198.9484881559415,2195.2709610042093,2196.2083907838955,2201.414148236547,2211.5732008082628,2224.16063612757,2241.3624042207084,2253.430772187125,2261.253507487679,2264.6709961597726,2266.568615711907,2261.06554714242,2254.381901944943,2255.107869408929,2256.069364308031,2260.5861208059114,2268.4783221928906,2286.8432205888284,2305.95443112418,2318.6652199691607,2327.053515131827,2329.0746788104493,2330.862317214272,2330.7583899294573,2327.5561825388063,2322.5653492957645,2313.845636606931,2321.8593034864202,2331.3974194260973,2354.1108402133564,2364.5256162673295,2376.7319861519654,2381.5157350865284,2390.250509696864,2399.594769752707,2406.4009973259394,2404.6257515440007,2401.531119993828,2399.4985101278407,2412.9846902120735,2422.112488093106,2441.9430139243896,2462.381272147591,2493.2676209939805,2517.422227161406,2536.551870609592,2552.0269399004574,2564.2362013201346,2577.890342784935,2582.9129271502643,2585.9141307193504,2591.2301342393566,2611.150334645596,2637.850000047771,2670.991170074186,2694.5476113820177,2718.2718657856317,2732.6481405156424,2743.2594100535475,2750.5993387168946,2749.864000854867,2752.513799956964,2758.8919520083305,2766.1117035979833,2778.2934557888657,2790.121944856646,2810.7836972586338,2833.701623534841,2858.0769678923502,2880.4777573788438,2895.751216254121,2902.0009261630894,2904.240771728549,2908.4154635905093,2905.4816263517987,2909.7267333465807,2918.2788980810287,2945.8584689546665,2974.9035586451582,2996.9180201026247,3024.090349992248,3039.991206641482,3054.234246912351,3046.695055546197,3037.6997382694085,3042.9871690910168,3037.438223837902,3054.1129650350035,3070.9909963307036,3108.1383895378954
394974,7,"Philadelphia, PA",msa,PA,1322.5961039213541,1331.3348491939335,1343.4888030620673,1351.2440813794865,1355.779984966777,1358.3732312801494,1361.6208234254034,1362.3655437080645,1363.8388393180326,1364.3211515069308,1359.3062564276909,1358.0370732075155,1358.9753565010526,1367.889168473769,1376.9764111934517,1385.9696907987604,1392.9292520549934,1399.825999068641,1401.6583920107955,1402.3923569660228,1398.655956165184,1396.5862920633858,1399.5947455545377,1402.319761747975,1409.2100876461159,1415.6423524845218,1427.7365662253558,1435.8398602572677,1441.6861580949126,1441.2779609062711,1443.0040089266913,1445.2631180640292,1448.3802752317122,1450.6188205796607,1451.4186275339064,1453.6518756744063,1454.1383271923867,1460.5561470295524,1472.9361587451433,1485.5887245974866,1496.003007651454,1498.8619563841823,1498.4671052974318,1495.7383225666479,1497.7662943847483,1502.8539312521755,1507.831194994698,1507.436172481903,1511.2052503065227,1518.5583626960768,1529.5484928560963,1539.4835117410926,1547.6478791405548,1554.8501455973656,1557.7198986578023,1557.1900258428434,1557.594667646621,1561.3556166734347,1564.3871001766315,1568.7393576647291,1571.826759482871,1580.8650626113426,1589.6882748493088,1594.7783739384643,1599.5237347015075,1604.6642847061973,1617.9182592995928,1626.79525636658,1637.9198075485817,1641.903872639728,1648.6699839971116,1654.5252080369335,1666.0653322991325,1681.003612176848,1690.2927824001863,1705.9750250110992,1720.0835276576568,1736.9164803199433,1750.0822095861438,1764.432419757086,1766.5159508074048,1779.6485469389884,1793.2585863484305,1818.7965570291005,1831.8203121224972,1841.194679296366,1854.1062515278165,1865.3333466406652,1878.2757279152333,1894.1908695230472,1909.561460015997,1923.7013282781484,1929.796985858268,1933.188891933544,1938.1719993411277,1938.206733470566,1944.6719478616144,1953.6387946747054,1968.0909808378383,1979.1014403016964,1986.3769574773553,1995.1885278582038,2003.9248304699652,2011.97510674426,2026.1125397290343,2044.3164131165859,2058.2115377003015,2057.916913351515,2061.085606832654,2067.3801607056616,2080.7770171092698,2087.259508152888,2097.1513973073347,2102.5704709198244,2110.4639036432322,2117.9366918481956,2132.1383631575345,2147.375079642089,2164.233031680223,2177.5246464933707,2179.2531234086814,2183.365181479991,2178.5955768511326
394856,8,"Miami, FL",msa,FL,1751.504338827772,1756.1323614110504,1767.4159965203212,1778.1771637997085,1786.7391067107426,1793.9654847041024,1806.0587557685108,1814.7808130548908,1828.376273623946,1834.4779852065815,1848.0233032635465,1851.870592776741,1861.0112952287968,1857.9073715609456,1863.0559208352552,1862.4113947846192,1872.114129241981,1872.2942814533183,1879.2620821814455,1882.3606580233077,1892.1564611561912,1896.6235912258744,1903.9554966048988,1902.0489903424843,1906.0472079572805,1914.0160497739923,1927.188579080447,1934.4662942731577,1936.0321182823643,1942.6087602549094,1952.5510315247948,1963.7336198799185,1970.1330299951262,1977.0932224584392,1979.1044221597006,1982.8242113708563,1984.781717840185,1992.2615324749943,1999.6883186087723,2009.4490522912242,2015.3856097718506,2019.2336138408905,2025.0984590194046,2032.7151571507472,2041.7491659830737,2048.856846730287,2056.129978589583,2057.890536069833,2057.6929413303214,2059.4118357483508,2071.1640293081837,2079.6037896499056,2086.364119346854,2092.6169131390075,2098.2065681275158,2104.258157680735,2112.0968877682253,2125.1567939404567,2138.4410019140387,2144.2452547924863,2142.8303665351177,2149.253750776084,2148.9885065314065,2152.603742428932,2150.371011559391,2165.710044069114,2184.746172634644,2202.7311415397703,2225.1711439943115,2262.240162862869,2298.703658536928,2322.904847677653,2329.950762266778,2346.652556756094,2357.523865971989,2384.980558981964,2422.5179630456482,2482.670467122991,2550.822888517385,2608.6765175316464,2677.9525330451597,2726.111364576008,2796.1433974374877,2846.7811921424336,2906.5108162564284,2942.5718995373995,2985.937275622671,3041.1951064865484,3103.915615350777,3161.4114904063617,3195.4401637953188,3221.6369235737257,3224.9798302310064,3235.5566444997767,3240.7003675246783,3245.653174489519,3237.6527799019555,3228.141725510754,3233.302839761196,3253.476526836925,3277.777144161989,3308.991997477068,3320.8609069371237,3335.774426371165,3344.5531214747175,3363.094580220148,3368.4870565686138,3352.183132897066,3343.8859150650296,3346.7031109109093,3374.0729359478078,3393.949959948565,3409.964310922054,3414.032841699618,3428.991760096457,3442.0804113278446,3453.7503177436056,3445.9274143582325,3451.519332214461,3453.658049104686,3458.7853490593375,3459.1431126993357,3472.035673766753
394347,9,"Atlanta, GA",msa,GA,1103.7882156317241,1109.988614222919,1112.7073292581742,1122.314430639424,1130.4115592715473,1142.9726240375603,1149.7671165365448,1152.8389404751913,1152.4936894807233,1152.2892744378332,1151.4901379682055,1154.7752665699925,1160.6111864923942,1170.3902181217613,1177.5665640211812,1185.1964689120312,1193.070218340183,1203.11242293796,1211.408669702783,1216.028246486495,1215.195362922195,1214.424833470362,1213.941467947404,1216.4522833945277,1221.4165348260374,1230.4920793214435,1243.3416979753245,1255.9629815712815,1268.1936156146364,1278.235209605125,1287.7574168822723,1291.1990518782823,1293.7244953244835,1289.8182739798656,1294.231755394389,1295.4892688033312,1303.6289066544484,1309.2391536553534,1323.2349060545228,1335.67554057846,1348.3483671540712,1354.454241690771,1358.951928554802,1360.2191230491223,1362.006043972245,1366.5519242276907,1371.6767530736506,1376.54503302537,1381.8428949556364,1389.915519510915,1402.2727578666072,1415.0892426431012,1425.85457918296,1436.0560712843658,1441.696906938617,1445.265039830134,1446.4509157433124,1448.2549689111568,1450.8164826108316,1453.2815925569219,1458.964271995317,1468.792335676944,1481.4584841851527,1491.5189729868177,1502.614920740951,1515.1037789372074,1531.0654719820457,1547.2428873171868,1562.7462260642203,1576.5226668421562,1587.6123887665092,1598.8604997595926,1614.1910665987598,1635.6507608082081,1658.6994402812813,1685.2329891681181,1710.8692523349832,1739.960220323535,1766.7868517610077,1798.9326773097043,1823.8612306844122,1848.0541016745549,1859.9729562092896,1867.7061412492492,1874.1766508733435,1884.5918660078116,1900.7051521124313,1914.9587504280034,1933.4138635758516,1956.4687316906975,1982.8786224430346,2001.8317783505063,2012.0603712513953,2016.196075212962,2015.871697822972,2024.6649970538888,2024.7433691822466,2032.4001519160154,2037.3221698166176,2047.2167310524608,2054.56653814991,2059.110851883241,2068.1366010496563,2075.741449953967,2078.7675596321446,2071.1559425783826,2061.856087389663,2061.697918491158,2079.353429744141,2101.327026926351,2116.681831262796,2122.896907060512,2127.427506866389,2141.575324580045,2153.9210747622055,2165.3012409481735,2164.938994073841,2164.389133293649,2161.073286684613,2165.3983558237073,2172.084479347818,2188.702734858427,2197.431849883982
